State_Name,StudyYear,_75FCCInfant,_75FCCToddler,_75FCCPreschool,_75CInfant,_75CToddler,_75CPreschool
Alabama,2014,$125.00 ,$125.00 ,$125.00 ,$127.00 ,$127.00 ,$115.00 
Alabama,2015,$125.00 ,$125.00 ,$124.67 ,$131.33 ,$131.33 ,$116.67 
Alabama,2016,$125.00 ,$125.00 ,$124.33 ,$135.67 ,$135.67 ,$118.33 
Alabama,2017,$125.00 ,$125.00 ,$124.00 ,$140.00 ,$140.00 ,$120.00 
Alabama,2018,$125.00 ,$125.00 ,$123.67 ,$144.33 ,$144.33 ,$121.67 
Alabama,2014,$122.00 ,$122.00 ,$120.00 ,$127.00 ,$127.00 ,$120.00 
Alabama,2015,$123.00 ,$123.00 ,$121.67 ,$131.33 ,$131.33 ,$123.33 
Alabama,2016,$124.00 ,$124.00 ,$123.33 ,$135.67 ,$135.67 ,$126.67 
Alabama,2017,$125.00 ,$125.00 ,$125.00 ,$140.00 ,$140.00 ,$130.00 
Alabama,2018,$126.00 ,$126.67 ,$126.67 ,$144.33 ,$144.33 ,$133.33 
Alabama,2014,$90.00 ,$90.00 ,$90.00 ,$110.00 ,$110.00 ,$106.00 
Alabama,2015,$91.33 ,$91.33 ,$90.00 ,$108.33 ,$108.33 ,$104.00 
Alabama,2016,$92.67 ,$92.67 ,$90.00 ,$106.67 ,$106.67 ,$102.00 
Alabama,2017,$94.00 ,$94.00 ,$90.00 ,$105.00 ,$105.00 ,$100.00 
Alabama,2018,$95.33 ,$95.33 ,$90.00 ,$103.33 ,$103.33 ,$98.00 
Alabama,2014,$95.00 ,$95.00 ,$95.00 ,$123.00 ,$123.00 ,$115.00 
Alabama,2015,$96.67 ,$96.67 ,$96.67 ,$123.67 ,$123.67 ,$116.67 
Alabama,2016,$98.33 ,$98.33 ,$98.33 ,$124.33 ,$124.33 ,$118.33 
Alabama,2017,$100.00 ,$100.00 ,$100.00 ,$125.00 ,$125.00 ,$120.00 
Alabama,2018,$101.67 ,$101.67 ,$101.67 ,$125.67 ,$125.67 ,$121.67 
Alabama,2014,$121.00 ,$121.00 ,$110.00 ,$152.00 ,$152.00 ,$135.00 
Alabama,2015,$122.33 ,$122.33 ,$115.00 ,$165.67 ,$165.67 ,$147.33 
Alabama,2016,$123.67 ,$123.67 ,$120.00 ,$179.33 ,$179.33 ,$159.67 
Alabama,2017,$125.00 ,$125.00 ,$125.00 ,$193.00 ,$193.00 ,$172.00 
Alabama,2018,$126.33 ,$130.00 ,$130.00 ,$206.67 ,$206.67 ,$184.33 
Alabama,2014,$125.00 ,$125.00 ,$125.00 ,$127.00 ,$127.00 ,$115.00 
Alabama,2015,$125.00 ,$125.00 ,$124.67 ,$131.33 ,$131.33 ,$116.67 
Alabama,2016,$125.00 ,$125.00 ,$124.33 ,$135.67 ,$135.67 ,$118.33 
Alabama,2017,$125.00 ,$125.00 ,$124.00 ,$140.00 ,$140.00 ,$120.00 
Alabama,2018,$125.00 ,$125.00 ,$123.67 ,$144.33 ,$144.33 ,$121.67 
Alabama,2014,$125.00 ,$125.00 ,$125.00 ,$127.00 ,$127.00 ,$115.00 
Alabama,2015,$125.00 ,$125.00 ,$124.67 ,$131.33 ,$131.33 ,$116.67 
Alabama,2016,$125.00 ,$125.00 ,$124.33 ,$135.67 ,$135.67 ,$118.33 
Alabama,2017,$125.00 ,$125.00 ,$124.00 ,$140.00 ,$140.00 ,$120.00 
Alabama,2018,$125.00 ,$125.00 ,$123.67 ,$144.33 ,$144.33 ,$121.67 
Alabama,2014,$95.00 ,$100.00 ,$100.00 ,$108.00 ,$108.00 ,$100.00 
Alabama,2015,$96.67 ,$100.00 ,$100.00 ,$110.33 ,$110.33 ,$103.33 
Alabama,2016,$98.33 ,$100.00 ,$100.00 ,$112.67 ,$112.67 ,$106.67 
Alabama,2017,$100.00 ,$100.00 ,$100.00 ,$115.00 ,$115.00 ,$110.00 
Alabama,2018,$101.67 ,$101.67 ,$100.00 ,$117.33 ,$117.33 ,$113.33 
Alabama,2014,$115.00 ,$115.00 ,$115.00 ,$128.00 ,$128.00 ,$110.00 
Alabama,2015,$121.67 ,$121.67 ,$120.00 ,$133.33 ,$133.33 ,$118.33 
Alabama,2016,$128.33 ,$128.33 ,$125.00 ,$138.67 ,$138.67 ,$126.67 
Alabama,2017,$135.00 ,$135.00 ,$130.00 ,$144.00 ,$144.00 ,$135.00 
Alabama,2018,$141.67 ,$141.67 ,$135.00 ,$149.33 ,$149.33 ,$143.33 
Alabama,2014,$78.00 ,$78.00 ,$75.00 ,$106.00 ,$106.00 ,$100.00 
Alabama,2015,$78.67 ,$78.67 ,$75.00 ,$107.33 ,$107.33 ,$101.00 
Alabama,2016,$79.33 ,$79.33 ,$75.00 ,$108.67 ,$108.67 ,$102.00 
Alabama,2017,$80.00 ,$80.00 ,$75.00 ,$110.00 ,$110.00 ,$103.00 
Alabama,2018,$80.67 ,$80.67 ,$75.00 ,$111.33 ,$111.33 ,$104.00 
Alabama,2014,$125.00 ,$125.00 ,$125.00 ,$127.00 ,$127.00 ,$115.00 
Alabama,2015,$125.00 ,$125.00 ,$124.67 ,$131.33 ,$131.33 ,$116.67 
Alabama,2016,$125.00 ,$125.00 ,$124.33 ,$135.67 ,$135.67 ,$118.33 
Alabama,2017,$125.00 ,$125.00 ,$124.00 ,$140.00 ,$140.00 ,$120.00 
Alabama,2018,$125.00 ,$125.00 ,$123.67 ,$144.33 ,$144.33 ,$121.67 
Alabama,2014,$95.00 ,$95.00 ,$95.00 ,$123.00 ,$123.00 ,$115.00 
Alabama,2015,$96.67 ,$96.67 ,$96.67 ,$123.67 ,$123.67 ,$116.67 
